transaction_id,amount,status,settlement_date
BL2568446079,30887.16,successful,2024-12-24
BL4332654742,18003.28,successful,2025-09-26
BL0321220228,28320.96,successful,2025-07-24
BL1451610018,22619.24,successful,2024-01-01
BL9141821435,13323.72,successful,2024-11-28
BL6530828040,11475.07,failed,2025-11-21
BL9883865289,8032.72,successful,2025-07-31
BL7312775374,23264.5,successful,2025-01-28
BL7100107584,40063.15,successful,2025-03-20
BL0521228526,25624.53,successful,2025-04-17
BL9924051729,28644.92,successful,2024-02-14
BL2041146824,36286.81,successful,2025-07-18
BL4028026561,6533.65,successful,2025-01-05
BL6321880869,8327.69,successful,2025-04-02
BL6020147212,13571.86,successful,2024-03-24
BL1882226856,32252.41,successful,2024-06-10
BL4377155192,32395.21,successful,2024-08-17
BL2469135208,39865.79,successful,2025-11-25
BL7330911773,36391.2,successful,2025-06-24
BL3026146881,49035.47,successful,2025-01-16
BL7830742162,35030.71,failed,2025-05-25
BL8445697391,2924.58,successful,2024-09-30
BL9063729008,37146.4,successful,2025-09-02
BL1670203294,3736.75,successful,2025-03-29
BL6677537336,2807.98,successful,2025-06-16
BL9597649901,42488.43,successful,2025-12-21
BL8666327971,47354.27,successful,2025-05-07
BL9871379177,37576.99,successful,2025-08-04
BL5844285743,36675.34,successful,2025-05-27
BL3745411978,24226.82,successful,2024-10-09
BL7487188655,48425.23,successful,2024-06-18
BL7613752408,38456.72,successful,2025-01-09
BL1702711870,39492.18,successful,2025-09-16
BL0574038913,3470.96,successful,2025-02-21
BL1821242603,34331.99,successful,2025-03-02
BL4134786144,12959.97,successful,2024-07-13
BL4835831031,30721.82,successful,2024-04-04
BL5109654740,19833.22,failed,2024-04-22
BL8030969017,43876.96,successful,2025-05-30
BL0442122617,23512.98,successful,2025-05-11
BL0452605727,32334.94,successful,2025-12-17
BL5568293335,24729.62,successful,2024-12-17
BL9934948991,12578.97,failed,2024-08-30
BL5784061705,15674.26,successful,2024-01-10
BL1372272470,39740.08,successful,2025-05-03
BL0194744222,22758.54,successful,2025-06-25
BL4634299085,39733.05,successful,2024-10-11
BL4095591173,7820.27,successful,2024-01-13
BL4889701971,44961.3,successful,2024-10-03
BL4600122081,29191.95,successful,2025-09-16
BL5556182590,10417.19,successful,2024-11-01
BL9527822072,26694.78,failed,2025-02-24
BL4220858340,19434.27,successful,2025-04-20
BL7081329580,24548.15,successful,2024-05-07
BL4430724724,5554.88,failed,2024-12-21
BL2927081321,23121.22,successful,2025-11-12
BL7001215621,1343.11,failed,2025-04-21
BL4972001748,19265.96,successful,2025-11-27
BL2100171999,2546.67,failed,2025-11-16
BL6147223881,41031.21,successful,2024-05-18
BL2842109508,39530.76,successful,2024-04-01
BL4829172995,1874.36,successful,2025-01-28
BL5761130106,5880.22,successful,2025-12-18
BL6604934902,13904.81,successful,2024-02-04
BL8689115720,8646.62,failed,2024-12-08
BL9148300215,30854.14,successful,2025-11-24
BL4568506396,42303.74,successful,2024-06-22
BL8942415293,48697.2,failed,2024-09-27
BL8106096877,29844.17,successful,2024-09-21
BL7118867614,45172.47,successful,2024-03-16
BL9140699164,34555.81,successful,2024-11-25
BL8795448325,29023.46,successful,2025-07-22
BL1845917040,42907.13,successful,2025-05-03
BL1741507242,4958.48,failed,2025-08-07
BL2484029773,44835.97,successful,2024-10-31
BL2790298549,3597.97,successful,2025-05-12
BL0638189744,4114.79,failed,2024-10-25
BL4983709074,1881.34,successful,2025-08-18
BL0178755980,10662.74,successful,2025-04-05
BL2408742178,21989.19,pending,2024-04-03
BL8225813960,24925.99,pending,2025-02-15
BL0965659051,23727.1,successful,2024-09-23
BL3858068971,38453.46,successful,2024-01-12
BL3253760091,894.92,successful,2025-02-16
BL1785219912,2672.97,successful,2024-01-26
BL7646538206,47959.28,successful,2024-12-27
BL3987523359,44982.61,successful,2025-08-01
BL8908151522,41763.88,failed,2025-11-10
BL9899520833,38449.06,successful,2024-04-08
BL8900122643,46789.69,successful,2024-03-28
BL9208372403,21439.26,successful,2024-01-18
BL5836048188,44831.8,failed,2024-01-10
BL5298807166,23159.79,successful,2025-04-01
BL0541652621,26902.61,successful,2025-03-26
BL9271031225,14600.41,successful,2025-02-07
BL3955809686,24956.93,successful,2025-01-04
BL7309460581,17246.42,successful,2024-05-19
BL6232601697,33856.74,successful,2025-07-09
BL3461206461,29440.66,successful,2024-08-30
BL1050073286,23815.89,successful,2025-10-22
BL4492467776,25859.58,successful,2025-09-10
BL1231256230,7472.41,successful,2025-01-22
BL7865636518,7583.12,successful,2025-06-16
BL7597364350,48192.97,successful,2025-09-11
BL6912760525,28591.57,successful,2024-01-16
BL0310519252,1151.6,successful,2025-11-01
BL7888170739,39486.94,failed,2025-12-07
BL7805026725,40690.06,successful,2024-03-03
BL8169855063,47243.38,successful,2025-04-06
BL1449948069,35541.75,successful,2024-07-16
BL5707065566,44644.32,successful,2024-07-21
BL5182523710,46367.6,successful,2025-01-16
BL3332221098,33190.57,pending,2024-10-03
BL8695075619,41865.16,successful,2024-01-04
BL8828034306,39871.97,successful,2024-03-03
BL0380890912,8230.74,successful,2025-11-01
BL0107556412,4290.11,successful,2025-08-10
BL5798981587,4814.77,failed,2024-03-02
BL0278495997,23908.28,successful,2025-09-19
BL6014570195,23627.31,successful,2024-04-22
BL7923989413,31172.56,successful,2025-04-04
BL4017349831,37684.99,successful,2025-10-21
BL1270178355,34075.45,successful,2025-08-22
BL7827461630,1268.74,failed,2024-06-02
BL6879351886,26031.37,successful,2024-07-02
BL9164940441,20197.41,successful,2024-09-11
BL6281271602,28695.65,successful,2024-01-22
BL7427532739,4349.09,successful,2024-11-03
BL3774921878,12057.19,successful,2024-11-12
BL7431306760,8154.67,successful,2025-10-06
BL1725860017,35194.65,pending,2025-05-29
BL9123391746,48368.1,successful,2024-12-25
BL4177449217,28300.5,failed,2025-01-17
BL3551234625,44166.79,successful,2024-04-09
BL2964489963,13968.86,successful,2024-11-27
BL8619743314,31302.21,successful,2024-12-14
BL8343342252,31016.37,failed,2024-12-01
BL1767948636,2960.15,successful,2025-03-30
BL0226247339,18858.0,successful,2024-05-06
BL2057332084,11464.31,successful,2024-11-13
BL6009112455,10572.76,successful,2024-08-20
BL4132806613,28917.67,successful,2025-03-31
BL8849516000,7769.19,successful,2025-07-27
BL9457852721,6543.97,successful,2024-05-25
BL4054335894,13844.5,failed,2025-07-31
BL4397543329,42147.71,successful,2024-04-20
BL9901790204,1818.8,successful,2024-08-04
BL4677332721,40799.65,successful,2024-03-11
BL8713764614,49428.71,successful,2025-04-23
BL2188360447,36359.75,successful,2024-12-31
BL1800869145,20849.43,successful,2024-12-26
BL9816790002,36140.04,successful,2025-07-30
BL7172397465,21400.89,successful,2025-04-12
BL0153835233,40737.09,successful,2025-01-16
BL6390239882,1580.37,successful,2024-02-15
BL7847495240,46613.21,successful,2025-01-11
BL1124078261,43540.02,successful,2024-09-18
BL5391121808,49310.45,failed,2025-10-10
BL8580857205,14089.86,failed,2024-12-12
BL8079506638,19826.09,successful,2024-10-22
BL0107241202,2718.36,successful,2025-05-20
BL5053364701,26551.37,pending,2025-01-11
BL8992385360,6527.92,successful,2025-10-12
BL6799096912,41648.13,successful,2025-02-18
BL2106205551,39458.5,successful,2025-09-29
BL8547407218,34287.58,successful,2025-07-20
BL2453695549,30814.96,successful,2024-07-24
BL4089940404,12581.72,successful,2024-10-01
BL5625484993,39038.84,successful,2024-11-02
BL3147517009,36897.83,failed,2025-07-17
BL8698215933,39157.57,successful,2024-08-12
BL1964169368,2642.67,successful,2025-07-21
BL4514718631,9169.41,successful,2024-08-26
BL2354922221,16627.47,failed,2025-05-27
BL2844998547,40860.67,successful,2024-08-05
BL7128209958,28525.93,successful,2024-07-27
BL9244848656,27277.64,successful,2025-07-03
BL5067480832,8561.0,successful,2025-11-19
BL8546585642,44666.57,failed,2024-03-20
BL5185629374,48593.8,pending,2024-06-06
BL0754706845,32277.87,successful,2024-10-10
BL8587527923,35496.71,successful,2024-03-27
BL5640051402,23923.07,successful,2024-05-01
BL3307352403,47941.08,successful,2025-03-04
BL1685069495,38454.95,successful,2024-12-25
BL1091721218,40255.85,successful,2024-04-11
BL1179976799,23090.98,successful,2025-11-07
BL6294023223,17186.93,successful,2024-12-25
BL9509934497,41544.4,failed,2024-01-18
BL2876719117,28089.33,successful,2025-12-01
BL4926856905,26206.17,successful,2025-06-11
BL7163661370,15439.09,failed,2024-12-30
BL7112197399,25262.43,successful,2025-04-23
BL1748783369,2682.27,successful,2025-07-30
BL7324606719,19600.93,successful,2024-04-21
BL6088570473,42754.97,successful,2024-01-18
BL6693750843,5827.94,pending,2024-09-23
BL4774163887,46125.17,successful,2024-09-11
BL0313726248,40813.02,successful,2024-06-02
BL5222235342,16074.06,successful,2024-02-21
BL1099102040,23142.42,successful,2025-09-15
BL3496650686,24741.55,successful,2024-11-08
BL7653052508,39602.23,successful,2024-05-28
BL1821133663,33097.32,successful,2025-06-26
BL8375114748,44141.75,successful,2025-04-06
BL5855069642,36835.7,successful,2025-01-03
BL8205473726,13569.88,successful,2025-07-24
BL7954875248,8214.08,successful,2025-04-20
BL2052760369,42964.63,successful,2024-02-20
BL6204330825,47878.84,failed,2025-08-30
BL3700803286,38173.48,successful,2025-08-10
BL7175777333,30896.21,successful,2024-03-21
BL1851504868,19352.46,successful,2025-05-09
BL4990152359,39356.17,pending,2024-01-08
BL6654217085,29483.72,successful,2025-08-15
BL6298106211,16968.46,successful,2024-08-11
BL8213802052,40393.63,failed,2024-09-16
BL6312795299,42506.69,failed,2024-02-24
BL8280557047,843.44,pending,2025-04-23
BL2922588828,17397.11,successful,2025-07-25
BL4156591626,38233.18,successful,2025-04-28
BL2717827183,30439.16,successful,2025-12-06
BL5373403939,44862.51,successful,2025-03-17
BL0918839233,3964.77,successful,2025-07-11
BL5305037054,31133.63,successful,2025-03-19
BL9196101345,32887.26,successful,2024-02-04
BL7689148450,23669.23,pending,2025-08-15
BL3191811712,30316.73,successful,2025-01-27
BL7599927316,44881.57,successful,2025-11-06
BL3998505107,45136.81,successful,2025-01-12
BL8446928482,33636.87,failed,2024-07-23
BL1728332351,29932.32,successful,2024-11-20
BL3356812109,1094.0,successful,2025-01-12
BL4066855937,45956.83,successful,2024-04-06
BL4364492230,4743.81,successful,2025-04-01
BL8067010035,41998.54,successful,2025-03-13
BL9417484322,5771.86,failed,2025-07-04
BL2160654219,41487.46,failed,2024-08-13
BL6641850716,44178.82,successful,2024-11-19
BL6526144154,36559.84,failed,2024-01-11
BL8311791308,5953.1,successful,2024-06-17
BL9572132857,9032.38,successful,2024-04-03
BL7785070063,30684.73,successful,2025-04-30
BL7187809670,9635.19,successful,2024-03-08
BL9218128957,17174.84,successful,2025-05-13
BL2176237904,13541.11,successful,2024-11-06
BL0193724252,16422.88,failed,2024-09-24
BL5354506422,32725.48,successful,2025-06-13
BL6222472043,2598.67,successful,2025-06-08
BL3322789270,3919.15,successful,2025-02-19
BL3236356254,37159.98,successful,2024-04-23
BL9459540766,37368.8,successful,2025-12-09
BL0526521977,42732.36,successful,2024-02-19
BL5627401214,15835.37,successful,2025-02-17
BL8679461125,31550.76,successful,2024-06-18
BL6064655513,8047.4,failed,2024-02-20
BL2842567195,26755.12,successful,2024-02-24
BL8249180331,37921.23,successful,2025-01-08
BL6722700970,43524.6,successful,2024-08-17
BL0086830009,11495.73,successful,2024-06-09
BL9690049363,39883.77,successful,2025-05-30
BL7193724411,3137.17,successful,2025-12-28
BL1908156713,15068.05,successful,2025-03-30
BL1832636026,25413.92,failed,2024-11-29
BL5339130109,46648.89,successful,2025-06-05
BL8216709106,32325.06,successful,2025-10-27
BL7473684546,25196.88,successful,2024-12-20
BL9744183781,28135.64,successful,2025-05-11
BL1822263696,22347.43,successful,2024-09-11
BL2867522897,16398.3,successful,2025-08-29
BL4232090717,6453.44,successful,2025-05-31
BL3670589534,41724.45,successful,2024-02-23
BL5628510774,8227.86,failed,2024-12-10
BL5621296817,48082.28,successful,2025-01-14
BL5025738121,16231.22,failed,2024-10-06
BL1082655208,8814.41,successful,2024-07-12
BL2507085058,26882.69,successful,2024-11-12
BL7088984346,46201.89,successful,2024-01-10
BL7178042510,4819.72,successful,2025-11-24
BL8801798587,48825.11,successful,2025-12-29
BL8004419696,33411.1,successful,2024-03-19
BL8772145769,39428.0,successful,2024-03-24
BL5081870014,37061.17,successful,2025-09-27
BL2643827062,28040.07,failed,2024-07-24
BL3254226471,40747.2,successful,2025-04-25
BL5618711210,39860.19,failed,2024-01-17
BL4597807691,49052.45,successful,2025-09-14
BL2281023122,29927.15,successful,2024-05-13
BL3331212302,15791.48,failed,2025-08-16
BL5211981020,12386.49,successful,2025-02-06
BL0768382125,45602.16,successful,2025-09-27
BL9961637865,2455.66,successful,2025-09-02
BL9892871137,11156.2,successful,2024-05-26
BL6395396810,49355.57,successful,2025-07-08
BL6610264997,8030.3,successful,2024-11-17
BL7104019438,7223.66,failed,2025-10-19
BL5311192101,26760.26,successful,2025-05-02
BL6314648706,39227.88,successful,2024-11-20
BL1881701797,10937.19,successful,2024-12-25
BL7029223853,2732.36,failed,2024-07-09
BL5948598072,2064.98,successful,2024-11-18
BL7012544492,39985.95,successful,2024-05-17
BL9134903876,49808.08,successful,2025-11-23
BL9695104031,1895.56,successful,2024-07-30
BL7932498257,291.67,successful,2025-03-28
BL7850404109,14906.3,pending,2024-05-16
BL3411100700,31030.28,successful,2025-05-12
BL6466350072,23273.19,successful,2025-08-15
BL6400307788,9277.09,successful,2025-07-27
BL3941117539,24418.37,successful,2024-10-30
BL1562028309,45137.45,successful,2024-04-10
BL1177812286,6513.93,successful,2024-10-13
BL4234444474,44521.31,successful,2025-09-16
BL4651089616,19937.19,failed,2025-12-24
BL5836331146,13670.93,successful,2024-01-29
BL5831468486,47120.26,successful,2025-09-12
BL5580267228,21483.34,failed,2024-08-17
BL6198237347,19426.45,successful,2025-03-30
BL5572358586,32847.51,successful,2024-11-07
BL1597402630,24440.6,successful,2025-11-23
BL8957943752,37611.16,successful,2025-08-31
BL5990268605,42379.38,successful,2025-10-18
BL9545276746,30820.33,successful,2024-12-10
BL4713426559,6701.32,successful,2024-05-18
BL7291140455,6399.37,successful,2025-02-24
BL1552494966,43273.34,successful,2024-02-27
BL2352299509,16394.58,successful,2025-12-17
BL0593288594,33064.75,successful,2025-09-14
BL5547158498,44170.01,successful,2025-07-15
BL8818633154,23034.35,successful,2025-03-17
BL9103481245,15766.45,successful,2024-07-12
BL7356642067,2071.73,successful,2024-05-17
BL1200703788,32208.85,successful,2025-12-17
BL8565710774,42668.07,successful,2024-11-14
BL6924312380,9279.7,successful,2024-05-24
BL6030654830,2654.67,successful,2024-01-02
BL1319266477,34507.54,successful,2024-03-12
BL5724674844,3438.34,successful,2025-12-19
BL8215338241,15921.64,successful,2024-12-25
BL4190579787,18252.88,successful,2025-09-30
BL2544844014,44431.58,successful,2025-07-27
BL3561429937,32929.2,successful,2024-06-13
BL6068674768,18120.3,successful,2024-11-09
BL2515185086,28873.14,successful,2025-04-03
BL9332145514,5609.78,failed,2025-06-01
BL9313840074,25872.38,successful,2025-12-03
BL1960815063,24902.13,successful,2024-11-09
BL6474348163,45918.35,failed,2024-11-15
BL2706796247,13926.37,successful,2024-08-05
BL7565543077,17909.29,successful,2025-08-11
BL7619589464,3157.63,successful,2025-06-24
BL7243771856,18789.33,failed,2025-04-25
BL3493428729,35651.2,successful,2024-10-18
BL5322265984,34098.81,successful,2024-11-28
BL5947679036,13114.12,failed,2025-08-31
BL0283978282,21791.03,successful,2025-09-23
BL7365833366,25632.96,failed,2025-04-10
BL0659182704,36951.46,successful,2025-04-29
BL0589456402,3369.97,successful,2025-07-23
BL6622343533,42662.97,successful,2024-07-06
BL5272625976,45406.05,successful,2025-08-27
BL1467156606,28746.97,successful,2024-06-30
BL8163573061,40248.8,successful,2025-11-27
BL4694359344,38909.22,successful,2024-04-10
BL9592554608,5524.79,successful,2025-12-28
BL5699148601,3851.41,successful,2024-08-01
BL6527572414,24692.02,failed,2024-11-26
BL2484857427,20306.24,successful,2025-05-26
BL7193603824,31209.51,successful,2024-02-26
BL1944730534,24795.42,successful,2025-02-26
BL7536756621,33683.26,successful,2024-05-24
BL4223615783,31734.06,successful,2025-11-29
BL6137821072,45808.26,successful,2025-02-17
BL7186952022,18565.59,successful,2025-08-14
BL1277301576,14436.51,successful,2025-12-30
BL8777297659,36419.3,successful,2024-01-30
BL0896500120,17480.98,failed,2025-02-15
BL4330509419,6997.13,failed,2024-04-16
BL5251393966,6643.28,successful,2024-03-05
BL3366040574,6573.85,successful,2025-03-31
BL8064356506,47566.67,successful,2024-05-25
BL4148384307,18841.29,failed,2025-08-16
BL8072180508,6497.35,successful,2025-10-01
BL3835065808,18661.29,successful,2024-01-14
BL9222352568,40324.23,failed,2024-05-13
BL9461654924,1080.43,pending,2024-02-14
BL7588611025,10625.68,successful,2025-03-08
BL0523787825,8711.49,successful,2024-07-20
BL2531922617,17766.72,successful,2025-09-05
BL3044943712,3264.16,successful,2024-11-06
BL3143795391,25837.78,successful,2024-03-16
BL2216956514,44468.78,successful,2024-09-21
BL1445882714,34152.18,successful,2024-10-16
BL4319980084,9134.09,successful,2024-11-21
BL2254771207,26485.22,failed,2025-12-23
BL5769902141,8823.94,failed,2025-08-13
BL6410923381,16993.11,successful,2025-06-05
BL4047803626,23789.17,successful,2025-11-30
BL2589653973,45259.65,successful,2025-11-25
BL9899147484,28438.14,successful,2025-05-13
BL2598170604,12764.28,failed,2025-03-31
BL2468920840,28443.86,successful,2025-09-21
BL9476841369,45985.56,successful,2025-09-25
BL8331891329,20001.28,successful,2024-03-12
BL4905488539,27997.48,successful,2025-10-17
BL7926254581,21843.55,successful,2024-03-11
BL5597457749,20024.99,successful,2025-10-09
BL1385551379,411.73,successful,2025-02-08
BL2725261760,9377.9,successful,2025-09-02
BL2577138601,24244.96,successful,2025-11-14
BL4950955176,41210.43,successful,2024-02-05
BL9689599373,25218.65,successful,2025-12-14
BL0614313475,36557.93,successful,2024-09-17
BL7705109061,18371.26,successful,2025-11-22
BL8978879463,6390.22,failed,2024-06-28
BL8043540938,47996.23,successful,2024-06-15
BL8164827532,10704.58,failed,2025-06-26
BL6515240495,4852.92,successful,2024-07-17
BL4185455543,45152.36,successful,2025-09-03
BL6594256225,16231.55,successful,2024-10-31
BL7062744644,47876.02,successful,2024-07-17
BL9837224579,21882.87,successful,2025-09-09
BL4827268542,34220.97,successful,2024-06-02
BL8423354667,36774.11,successful,2024-06-17
BL3491309702,39347.72,successful,2024-09-23
BL4996859570,46662.95,successful,2024-10-23
BL5658079863,11078.53,failed,2025-06-02
BL7874062507,7683.95,successful,2025-10-04
BL4726946211,30209.15,successful,2025-07-12
BL0284044788,2542.85,successful,2024-08-11
BL8130105641,16265.55,successful,2025-10-26
BL9919860933,46673.93,successful,2024-07-14
BL9660589776,3648.92,successful,2025-07-13
BL7215630368,26784.78,successful,2024-02-27
BL0668626909,1640.77,successful,2025-02-27
BL0880755983,20734.92,successful,2025-11-16
BL0564947007,48621.49,successful,2024-08-20
BL2442053095,5845.66,successful,2025-03-23
BL0174196178,15158.38,successful,2024-02-03
BL8318520995,18088.76,successful,2025-07-03
BL4096990635,1770.93,successful,2024-07-20
BL9198271113,41576.64,successful,2024-08-28
BL8897513754,21963.89,failed,2025-09-06
BL2565858059,19603.09,successful,2024-12-27
BL4524288875,10300.12,successful,2025-08-06
BL0101208516,30537.06,successful,2024-01-18
BL7772203053,2569.24,successful,2024-02-06
BL9430486052,20170.94,successful,2024-10-13
BL7771244151,33474.28,successful,2024-12-25
BL6089060473,4808.62,successful,2024-05-31
BL1276630516,12303.14,successful,2025-03-08
BL8185657106,35771.46,successful,2024-09-11
BL0475427557,38647.03,successful,2024-04-22
BL5449741799,31627.23,successful,2024-12-01
BL0874541384,3076.1,successful,2024-05-19
BL3440215604,10271.95,successful,2025-06-25
BL8214406099,26464.91,successful,2025-05-30
BL3439348347,26957.49,successful,2025-12-29
BL6417582017,30430.71,successful,2024-06-07
BL7238628250,34017.81,successful,2025-05-02
BL5410291961,31532.7,successful,2024-09-30
BL4583780095,16400.68,successful,2025-07-23
BL3981736917,5308.3,failed,2025-10-11
BL2659745999,5388.72,failed,2025-03-08
BL7217666097,29862.37,successful,2025-11-03
BL6018987198,36459.84,successful,2024-08-12
BL9287570494,7245.0,successful,2024-05-09
BL1956586511,28596.7,successful,2024-10-11
BL1620190612,26106.17,successful,2024-08-12
BL1590978631,23970.47,successful,2024-04-04
BL5495514724,12921.93,successful,2025-11-06
BL6055478894,11774.23,successful,2025-09-08
BL2919759182,23159.89,successful,2024-12-08
BL8948232241,1230.93,successful,2025-02-14
BL8773554086,3343.79,failed,2025-03-05
BL4833879808,45665.9,successful,2025-03-01
BL0092250803,18624.45,successful,2024-01-28
BL1231738043,16827.54,successful,2024-05-29
BL2480904458,41728.31,successful,2024-05-24
BL8857726512,10812.22,successful,2024-08-25
BL8692074203,17602.7,successful,2024-03-14
BL3113079797,26839.45,successful,2024-04-12
BL9268286821,11612.99,successful,2025-01-07
BL8437242103,26436.42,failed,2025-04-17
BL0017217444,10968.42,successful,2024-12-01
BL9236057279,12680.92,successful,2024-01-15
BL7168904546,25399.08,successful,2025-11-22
BL9700700964,1274.23,successful,2024-02-23
BL6206419858,1565.32,successful,2025-03-12
BL2990354727,19660.03,failed,2025-03-09
BL1523549238,42827.34,successful,2025-09-20
BL8143688402,48680.36,successful,2025-04-29
BL6202192455,36938.91,failed,2024-08-31
BL1628478371,4107.36,successful,2024-10-04
BL9434086175,26888.33,failed,2024-07-12
BL2801805786,49975.18,successful,2024-11-07
BL0485812985,34523.96,successful,2025-04-06
BL8329496099,1229.43,successful,2025-03-27
BL1404034512,5391.51,successful,2025-11-25
BL5432573082,18553.6,successful,2024-10-08
BL4112617386,19227.8,successful,2025-07-15
BL4665712971,32669.86,failed,2024-05-14
BL3475780472,21618.75,successful,2024-06-09
BL2229373790,36919.55,failed,2025-02-11
BL5592059427,9128.29,successful,2024-02-14
BL9750652938,21353.73,successful,2024-11-08
BL3545979823,21299.08,successful,2025-01-17
BL4564856107,9994.4,successful,2024-02-25
BL7604770413,49566.19,successful,2024-11-04
BL0661145460,32329.49,failed,2025-02-24
BL3465272950,48352.34,successful,2025-09-04
BL6538529231,4979.67,successful,2024-02-28
BL1311436272,29604.86,successful,2025-06-20
BL7492609515,17779.08,failed,2025-12-21
BL6201581426,36966.98,failed,2025-04-24
BL3200876095,39028.96,successful,2025-08-24
BL7754188317,19177.84,successful,2025-07-11
BL8256365189,6576.98,successful,2024-02-06
BL7414985662,43380.6,successful,2025-07-04
BL4800420689,37468.4,successful,2024-11-14
BL8556887317,28062.06,successful,2024-02-23
BL4197587131,48154.64,successful,2025-10-19
BL6071882684,18701.07,successful,2024-11-18
BL3786503915,20287.12,failed,2025-08-07
BL0127230220,1061.96,successful,2025-04-01
BL6624080886,13650.56,successful,2025-08-25
BL5673288123,10995.27,successful,2024-04-12
BL4090125425,22036.81,failed,2024-04-12
BL2870566674,13894.62,successful,2024-08-04
BL9830293866,23925.22,successful,2025-11-24
BL0488489116,42019.78,successful,2025-02-14
BL4669527161,38861.72,failed,2025-10-07
BL7031818357,9789.14,successful,2025-08-11
BL8351236534,31530.76,failed,2025-08-05
BL4348267380,41080.78,successful,2025-07-30
BL8577803822,8992.73,failed,2024-08-09
BL5361284285,18228.77,successful,2025-04-24
BL9879454028,49422.99,successful,2025-10-06
BL9628202145,28766.46,successful,2025-07-29
BL6314822024,14241.34,successful,2025-08-03
BL6399120215,46685.43,successful,2025-03-16
BL6631277835,35702.81,failed,2025-05-14
BL4514620033,12293.6,successful,2025-05-02
BL2332762482,49914.75,successful,2025-05-13
BL6211265705,23722.55,successful,2024-07-20
BL6952736799,38081.15,successful,2025-12-25
BL4943803803,34533.17,successful,2024-08-04
BL9946233854,41537.28,successful,2024-02-11
BL7298167713,29564.83,successful,2025-07-28
BL7393177397,17116.3,successful,2024-12-15
BL2714937770,25814.16,pending,2024-02-29
BL7883471644,37956.59,successful,2024-10-25
BL7494348214,45616.25,successful,2024-07-17
BL5506500241,3404.06,successful,2025-09-11
BL0906613514,41436.51,successful,2024-10-01
BL9328035674,32849.67,failed,2025-10-15
BL7166515163,40318.45,successful,2025-11-29
BL5794321573,14697.52,successful,2025-03-19
BL9809783686,23740.48,successful,2025-08-28
BL9540351034,27153.43,failed,2025-01-25
BL8725804235,27541.41,failed,2024-12-17
BL0213208201,41393.24,successful,2024-03-09
BL2099173332,13817.56,successful,2024-11-08
BL9303660633,33838.35,successful,2024-12-12
BL9386646311,15637.03,successful,2024-04-08
BL3996431344,40974.86,failed,2025-01-10
BL3929943993,11009.63,failed,2025-01-02
BL2833986039,37177.66,successful,2025-05-29
BL3830260024,32550.06,successful,2024-12-02
BL6269970217,18088.78,successful,2024-12-17
BL6147428088,23494.22,successful,2025-07-19
BL6810097586,26346.56,successful,2024-06-30
BL0419200536,25152.22,successful,2025-10-01
BL4688681148,24345.67,successful,2025-07-15
BL7382915782,47124.81,successful,2025-12-19
