merchantRef,transaction_id,amount,status,Date,Time
TXN823345926868,BL8785203369,38003.33,successful,2025-04-26,09:33:11
TXN467086399892,BL0448299196,45073.52,successful,2024-10-21,13:59:45
TXN838371975904,BL9568713136,41949.87,successful,2025-03-14,00:56:45
TXN593674253153,BL0904515038,38631.15,successful,2025-08-20,07:18:19
TXN017673103321,BL6351522412,9450.85,successful,2024-07-10,10:09:33
TXN105578047759,BL6421775691,12212.85,successful,2025-03-06,21:06:13
TXN368338891392,BL4086941427,15777.75,failed,2024-01-06,06:09:20
TXN984097859126,BL8459735638,8400.29,successful,2024-11-07,07:32:58
TXN290873375307,BL2613012723,22677.11,successful,2024-01-20,01:52:54
TXN186619211592,BL8402691771,20311.87,successful,2024-02-04,16:57:23
TXN378440227757,BL9307403676,26890.76,successful,2025-05-12,11:23:35
TXN285656538687,BL3825841700,14942.5,successful,2024-06-02,01:43:53
TXN720227574552,BL8229566217,27201.0,successful,2024-03-05,05:05:35
TXN418409261619,BL0488594117,13773.57,successful,2025-05-01,08:50:06
TXN186420813238,BL2774727398,43737.42,successful,2025-06-24,06:52:12
TXN160661010435,BL1955924320,41143.09,failed,2024-03-07,23:07:28
TXN728708207504,BL7418157176,18070.18,successful,2024-10-15,20:08:56
TXN178617080039,BL3364413338,9030.15,successful,2025-03-16,07:31:32
TXN056603737329,BL8484033590,21048.81,failed,2024-01-05,22:53:35
TXN690590916808,BL5777509932,40463.47,successful,2025-10-01,18:23:11
TXN947434392416,BL2568446079,30887.16,successful,2024-12-24,01:34:16
TXN779593991237,BL4332654742,18003.28,successful,2025-09-26,00:39:35
TXN179939906992,BL0321220228,28320.96,successful,2025-07-24,02:39:33
TXN441483387572,BL1451610018,22619.24,successful,2024-01-01,23:53:09
TXN864026941748,BL9141821435,13323.72,successful,2024-11-28,03:09:21
TXN604233738869,BL6530828040,11475.07,failed,2025-11-21,22:51:57
TXN824612877885,BL9883865289,8032.72,successful,2025-07-31,16:00:56
TXN755182000313,BL7312775374,23264.5,successful,2025-01-28,15:20:58
TXN222265896411,BL7100107584,40063.15,successful,2025-03-20,11:39:58
TXN396433246831,BL0521228526,25624.53,successful,2025-04-17,12:21:12
TXN866676924307,BL9924051729,28644.92,successful,2024-02-14,02:21:35
TXN664933165247,BL2041146824,36286.81,successful,2025-07-18,07:52:29
TXN013038166263,BL4028026561,6533.65,successful,2025-01-05,19:23:20
TXN009455461947,BL6321880869,8327.69,successful,2025-04-02,05:37:05
TXN064354166366,BL6020147212,13571.86,successful,2024-03-24,23:22:57
TXN420015497079,BL1882226856,32252.41,successful,2024-06-10,07:41:52
TXN088836418801,BL4377155192,32395.21,successful,2024-08-17,22:15:22
TXN680814923876,BL2469135208,39865.79,successful,2025-11-25,19:12:20
TXN981945467688,BL7330911773,36391.2,successful,2025-06-24,17:32:51
TXN325538045043,BL3026146881,49035.47,successful,2025-01-16,20:59:04
TXN853997299414,BL7830742162,35030.71,failed,2025-05-25,17:05:46
TXN597685840130,BL8445697391,2924.58,successful,2024-09-30,14:11:19
TXN228627081878,BL9063729008,37146.4,successful,2025-09-02,03:23:02
TXN049095768375,BL1670203294,3736.75,successful,2025-03-29,14:17:26
TXN157976971430,BL6677537336,2807.98,successful,2025-06-16,08:52:49
TXN266293801277,BL9597649901,42488.43,successful,2025-12-21,20:04:04
TXN697739551055,BL8666327971,47354.27,successful,2025-05-07,11:28:14
TXN729811621650,BL9871379177,37576.99,successful,2025-08-04,05:15:45
TXN553340227481,BL5844285743,36675.34,successful,2025-05-27,04:31:30
TXN688615419697,BL3745411978,24226.82,successful,2024-10-09,14:56:58
TXN222657398061,BL7487188655,48425.23,successful,2024-06-18,23:05:14
TXN950964486494,BL7613752408,38456.72,successful,2025-01-09,13:37:29
TXN760142828417,BL1702711870,39492.18,successful,2025-09-16,23:13:37
TXN569577944501,BL0574038913,3470.96,successful,2025-02-21,19:14:53
TXN293144734459,BL1821242603,34331.99,successful,2025-03-02,01:57:55
TXN536084643359,BL4134786144,12959.97,successful,2024-07-13,22:29:45
TXN665659235740,BL4835831031,30721.82,successful,2024-04-04,04:01:59
TXN694649033676,BL5109654740,19833.22,failed,2024-04-22,12:10:08
TXN370216832261,BL2673456433,41942.04,successful,2024-02-11,19:22:58
TXN984895195547,BL8030969017,43876.96,successful,2025-05-30,09:27:15
TXN335843230883,BL0442122617,23512.98,successful,2025-05-11,22:29:14
TXN727757518427,BL0452605727,32334.94,successful,2025-12-17,04:58:27
TXN610051127721,BL5568293335,24729.62,successful,2024-12-17,16:11:36
TXN436007123518,BL9934948991,12578.97,successful,2024-08-30,00:12:49
TXN727470475946,BL5784061705,15674.26,successful,2024-01-10,19:10:16
TXN751423069240,BL1372272470,39740.08,successful,2025-05-03,16:28:22
TXN553485815485,BL0194744222,22758.54,successful,2025-06-25,09:43:38
TXN508182405865,BL5761755098,35095.57,successful,2024-09-07,02:57:58
TXN709698463788,BL4634299085,39733.05,successful,2024-10-11,13:20:11
TXN003990751526,BL9829045293,9027.0,successful,2025-04-24,04:28:23
TXN933280862559,BL4095591173,7820.27,successful,2024-01-13,15:54:09
TXN282235520344,BL4889701971,44961.3,successful,2024-10-03,05:54:16
TXN402525247160,BL4600122081,29191.95,successful,2025-09-16,16:52:54
TXN039662219935,BL5556182590,10417.19,successful,2024-11-01,03:11:43
TXN216894976510,BL9527822072,26694.78,failed,2025-02-24,11:34:01
TXN665200718461,BL4220858340,19434.27,successful,2025-04-20,08:10:03
TXN070247970998,BL7081329580,24548.15,successful,2024-05-07,05:12:08
TXN476873955670,BL4430724724,5554.88,failed,2024-12-21,09:15:32
TXN953755602338,BL2927081321,23121.22,successful,2025-11-12,18:45:50
TXN694605158533,BL7001215621,1343.11,failed,2025-04-21,05:39:17
TXN242697711435,BL4972001748,19265.96,successful,2025-11-27,10:09:55
TXN658016086829,BL2100171999,2546.67,failed,2025-11-16,04:48:04
TXN266559730738,BL6147223881,41031.21,successful,2024-05-18,10:47:29
TXN618794356022,BL2842109508,39530.76,successful,2024-04-01,19:32:37
TXN713359818944,BL4829172995,1874.36,successful,2025-01-28,13:23:00
TXN853747827352,BL0987869638,34306.12,successful,2024-04-30,16:36:42
TXN249231779404,BL0889509361,25052.71,successful,2024-03-08,10:01:47
TXN833709592038,BL5761130106,5880.22,successful,2025-12-18,09:50:24
TXN504056353831,BL6604934902,13904.81,successful,2024-02-04,04:46:48
TXN211951552985,BL8689115720,8646.62,failed,2024-12-08,14:59:34
TXN414610415586,BL9148300215,30854.14,successful,2025-11-24,00:37:02
TXN780975086036,BL2021851992,38348.03,successful,2025-09-26,22:13:27
TXN823193834014,BL4568506396,42303.74,successful,2024-06-22,19:49:55
TXN118736754465,BL8942415293,48697.2,successful,2024-09-27,18:39:47
TXN649536167781,BL8106096877,29844.17,successful,2024-09-21,15:22:27
TXN190187346088,BL7118867614,45172.47,successful,2024-03-16,20:24:15
TXN582545395714,BL9140699164,34555.81,successful,2024-11-25,22:19:26
TXN872556266665,BL8795448325,29023.46,successful,2025-07-22,00:17:42
TXN109862058212,BL1845917040,42907.13,successful,2025-05-03,19:00:13
TXN263254273359,BL1741507242,4958.48,failed,2025-08-07,10:16:28
TXN417269710524,BL2484029773,44835.97,successful,2024-10-31,23:14:18
TXN031330774478,BL2790298549,3597.97,successful,2025-05-12,08:43:03
TXN845936469059,BL0638189744,4114.79,failed,2024-10-25,14:10:53
TXN259623164841,BL4983709074,1881.34,successful,2025-08-18,08:44:59
TXN376498903374,BL0178755980,10662.74,successful,2025-04-05,13:18:25
TXN518775311465,BL2408742178,21989.19,pending,2024-04-03,19:55:15
TXN689546201189,BL8225813960,24925.99,pending,2025-02-15,19:37:46
TXN217995524582,BL0965659051,23727.1,successful,2024-09-23,20:43:18
TXN723585150904,BL3858068971,38453.46,successful,2024-01-12,06:22:18
TXN860407642329,BL3253760091,894.92,successful,2025-02-16,12:49:42
TXN766526639593,BL1785219912,2672.97,successful,2024-01-26,09:50:19
TXN315072921495,BL7646538206,47959.28,successful,2024-12-27,10:48:27
TXN385403458458,BL3987523359,44982.61,successful,2025-08-01,16:07:14
TXN904694470108,BL8908151522,41763.88,failed,2025-11-10,15:03:16
TXN341972986612,BL9516315993,2153.46,successful,2025-10-18,17:31:09
TXN327691495109,BL9899520833,38449.06,successful,2024-04-08,05:38:15
TXN915348400652,BL8900122643,46789.69,successful,2024-03-28,05:42:58
TXN869934650637,BL9208372403,21439.26,successful,2024-01-18,12:20:20
TXN398074982894,BL5836048188,44831.8,failed,2024-01-10,11:15:12
TXN139539530621,BL5298807166,23159.79,successful,2025-04-01,01:49:54
TXN157250502129,BL0541652621,26902.61,successful,2025-03-26,07:20:55
TXN775031263945,BL9271031225,14600.41,successful,2025-02-07,16:25:41
TXN995141429078,BL3955809686,24956.93,successful,2025-01-04,14:02:46
TXN616007772642,BL7309460581,17246.42,successful,2024-05-19,02:35:09
TXN754554510253,BL6232601697,33856.74,successful,2025-07-09,22:03:00
TXN903303485926,BL3461206461,29440.66,successful,2024-08-30,09:57:29
TXN209427080308,BL1050073286,23815.89,successful,2025-10-22,11:23:00
TXN852634256586,BL4492467776,25859.58,successful,2025-09-10,00:01:32
TXN974956745653,BL1231256230,7472.41,successful,2025-01-22,17:49:54
TXN848968221622,BL7865636518,7583.12,successful,2025-06-16,07:02:30
TXN454601128618,BL7597364350,48192.97,successful,2025-09-11,01:59:36
TXN832098683882,BL6912760525,28591.57,successful,2024-01-16,11:07:42
TXN439346989378,BL0310519252,1151.6,successful,2025-11-01,05:37:15
TXN993972814386,BL7888170739,39486.94,failed,2025-12-07,15:41:54
TXN944878886536,BL7805026725,40690.06,successful,2024-03-03,05:04:19
TXN734726871418,BL8169855063,47243.38,successful,2025-04-06,09:15:49
TXN396180114340,BL1449948069,35541.75,successful,2024-07-16,00:30:38
TXN018879286723,BL5707065566,44644.32,successful,2024-07-21,06:19:13
TXN186701202749,BL5182523710,46367.6,successful,2025-01-16,14:01:40
TXN541713228785,BL3332221098,33190.57,pending,2024-10-03,22:01:05
TXN540768066359,BL8695075619,41865.16,successful,2024-01-04,04:54:44
TXN746263064999,BL8828034306,39871.97,successful,2024-03-03,23:07:42
TXN630093319808,BL0380890912,8230.74,successful,2025-11-01,12:41:03
TXN316059667956,BL0107556412,4290.11,successful,2025-08-10,14:00:40
TXN411985200014,BL5798981587,4814.77,failed,2024-03-02,12:04:57
TXN981176815011,BL0278495997,23908.28,successful,2025-09-19,11:07:12
TXN467134401179,BL6014570195,23627.31,successful,2024-04-22,17:52:19
TXN998200552681,BL7923989413,31172.56,successful,2025-04-04,01:46:15
TXN970842127462,BL4017349831,37684.99,successful,2025-10-21,02:57:40
TXN076690676524,BL1270178355,34075.45,successful,2025-08-22,22:04:19
TXN053785525336,BL7827461630,1268.74,failed,2024-06-02,05:51:43
TXN958655327767,BL6879351886,26031.37,successful,2024-07-02,09:10:34
TXN174144041206,BL9164940441,20197.41,successful,2024-09-11,15:30:51
TXN150882841384,BL6281271602,28695.65,successful,2024-01-22,17:32:51
TXN064201067366,BL7427532739,4349.09,successful,2024-11-03,02:44:15
TXN091720182980,BL3774921878,12057.19,successful,2024-11-12,08:11:10
TXN610922698282,BL7431306760,8154.67,successful,2025-10-06,04:36:45
TXN345066049648,BL1725860017,35194.65,pending,2025-05-29,09:44:26
TXN107767186829,BL9123391746,48368.1,successful,2024-12-25,09:12:52
TXN721838545656,BL4177449217,28300.5,failed,2025-01-17,19:09:57
TXN198872809666,BL3551234625,44166.79,successful,2024-04-09,14:41:12
TXN909492643782,BL2964489963,13968.86,successful,2024-11-27,17:59:41
TXN338892699130,BL8619743314,31302.21,successful,2024-12-14,15:23:20
TXN563212303797,BL8343342252,31016.37,failed,2024-12-01,12:06:48
TXN973871333056,BL1767948636,2960.15,successful,2025-03-30,00:17:22
TXN894966424788,BL0226247339,18858.0,successful,2024-05-06,01:07:16
TXN300121570011,BL4444964433,44280.57,pending,2025-10-03,15:19:46
TXN420420925502,BL2057332084,11464.31,successful,2024-11-13,15:26:08
TXN213386279977,BL1476153890,45627.89,successful,2024-10-06,19:18:09
TXN399870699827,BL6009112455,10572.76,successful,2024-08-20,14:36:22
TXN774731762453,BL4132806613,28917.67,successful,2025-03-31,22:32:35
TXN883464753079,BL8849516000,7769.19,successful,2025-07-27,01:41:02
TXN932254303939,BL9457852721,6543.97,successful,2024-05-25,00:11:47
TXN981247469556,BL4054335894,13844.5,failed,2025-07-31,05:11:07
TXN862354400693,BL4397543329,42147.71,successful,2024-04-20,19:58:26
TXN101253076132,BL9901790204,1818.8,successful,2024-08-04,19:34:57
TXN008609086705,BL4677332721,40799.65,successful,2024-03-11,23:34:00
TXN124201423627,BL8713764614,49428.71,successful,2025-04-23,17:34:22
TXN577870387951,BL2188360447,36359.75,successful,2024-12-31,14:44:10
TXN254371908734,BL1800869145,20849.43,successful,2024-12-26,03:05:18
TXN465409351429,BL9816790002,36140.04,successful,2025-07-30,11:29:56
TXN611073790981,BL7172397465,21400.89,successful,2025-04-12,16:52:48
TXN065671371194,BL0153835233,40737.09,successful,2025-01-16,22:23:24
TXN819849160010,BL6390239882,1580.37,successful,2024-02-15,19:30:23
TXN107059050697,BL7847495240,46613.21,successful,2025-01-11,20:40:47
TXN363323369880,BL1124078261,43540.02,successful,2024-09-18,18:41:39
TXN168268366441,BL5391121808,49310.45,failed,2025-10-10,21:22:45
TXN452196190933,BL8580857205,14089.86,failed,2024-12-12,15:23:17
TXN005893367562,BL8079506638,19826.09,successful,2024-10-22,07:21:16
TXN756919489091,BL0107241202,2718.36,successful,2025-05-20,19:57:34
TXN721378547387,BL5053364701,26551.37,pending,2025-01-11,01:59:05
TXN771798151581,BL8992385360,6527.92,successful,2025-10-12,05:29:45
TXN270129196209,BL2935259706,45240.51,successful,2024-05-05,05:10:40
TXN565935208212,BL6799096912,41648.13,successful,2025-02-18,20:23:31
TXN035220037186,BL2106205551,39458.5,successful,2025-09-29,22:56:58
TXN050298096914,BL8547407218,34287.58,successful,2025-07-20,23:18:43
TXN752396804643,BL2453695549,30814.96,successful,2024-07-24,15:18:54
TXN374041584907,BL4089940404,12581.72,successful,2024-10-01,21:02:34
TXN418148134381,BL4879337202,9559.4,successful,2024-10-17,17:38:04
TXN306999144617,BL5625484993,39038.84,successful,2024-11-02,10:52:21
TXN831101572639,BL3147517009,36897.83,failed,2025-07-17,21:31:11
TXN046712127644,BL8698215933,39157.57,successful,2024-08-12,20:02:57
TXN195621099460,BL1964169368,2642.67,successful,2025-07-21,08:42:14
TXN924040139728,BL4514718631,9169.41,successful,2024-08-26,00:34:13
TXN249119330058,BL2354922221,16627.47,successful,2025-05-27,23:19:29
TXN363075746308,BL2121966388,41214.2,successful,2024-03-31,05:50:36
TXN959771736865,BL2844998547,40860.67,successful,2024-08-05,05:47:57
TXN683474144481,BL7128209958,28525.93,successful,2024-07-27,18:40:31
TXN178834252500,BL9244848656,27277.64,successful,2025-07-03,11:55:54
TXN190416283881,BL5067480832,8561.0,successful,2025-11-19,12:45:27
TXN203390014314,BL8546585642,44666.57,failed,2024-03-20,00:30:15
TXN355452075782,BL3432813759,4453.79,failed,2025-05-22,22:35:34
TXN059903888218,BL5185629374,48593.8,pending,2024-06-06,21:24:35
TXN208474159474,BL0754706845,32277.87,successful,2024-10-10,16:38:46
TXN807508685895,BL8587527923,35496.71,successful,2024-03-27,10:09:41
TXN039740389606,BL5640051402,23923.07,successful,2024-05-01,18:58:33
TXN920509400397,BL3307352403,47941.08,successful,2025-03-04,12:16:27
TXN692261795965,BL1685069495,38454.95,successful,2024-12-25,16:55:45
TXN384873260164,BL1091721218,40255.85,successful,2024-04-11,21:42:15
TXN878441205307,BL1179976799,23090.98,successful,2025-11-07,02:30:21
TXN345811193440,BL6294023223,17186.93,successful,2024-12-25,01:30:00
TXN626004278562,BL9509934497,41544.4,failed,2024-01-18,19:41:02
TXN921945794958,BL2876719117,28089.33,successful,2025-12-01,07:49:17
TXN080858664435,BL4926856905,26206.17,successful,2025-06-11,21:11:28
TXN374967397526,BL7163661370,15439.09,failed,2024-12-30,17:30:06
TXN885169195408,BL7112197399,25262.43,successful,2025-04-23,16:04:08
TXN967162187832,BL1748783369,2682.27,successful,2025-07-30,14:12:59
TXN651451280438,BL7324606719,19600.93,successful,2024-04-21,16:03:44
TXN462486412966,BL6088570473,42754.97,successful,2024-01-18,01:18:31
TXN465179100518,BL6693750843,5827.94,pending,2024-09-23,06:27:09
TXN061210764849,BL4774163887,46125.17,successful,2024-09-11,09:47:06
TXN823573794847,BL0313726248,40813.02,successful,2024-06-02,16:41:12
TXN412231306725,BL0424299827,16145.91,successful,2024-05-19,17:39:42
TXN651268808473,BL5222235342,16074.06,successful,2024-02-21,10:42:53
TXN021465200750,BL1099102040,23142.42,successful,2025-09-15,11:53:08
TXN553048433307,BL3496650686,24741.55,successful,2024-11-08,20:56:23
TXN885060800326,BL7653052508,39602.23,successful,2024-05-28,11:28:31
TXN141878944155,BL1821133663,33097.32,successful,2025-06-26,16:03:25
TXN651021185252,BL8375114748,44141.75,successful,2025-04-06,09:52:54
TXN421859851103,BL5855069642,36835.7,successful,2025-01-03,00:50:06
TXN562483356884,BL8205473726,13569.88,successful,2025-07-24,17:56:47
TXN757310916525,BL7954875248,8214.08,successful,2025-04-20,15:21:25
TXN002503460232,BL2052760369,42964.63,successful,2024-02-20,04:32:26
TXN414397444405,BL6204330825,47878.84,failed,2025-08-30,17:06:01
TXN975368808164,BL3700803286,38173.48,successful,2025-08-10,02:11:10
TXN840149885868,BL7175777333,30896.21,successful,2024-03-21,11:22:36
TXN172562421532,BL1851504868,19352.46,successful,2025-05-09,03:34:35
TXN385373063737,BL4990152359,39356.17,pending,2024-01-08,02:00:49
TXN908496175626,BL6654217085,29483.72,successful,2025-08-15,08:02:21
TXN589530614920,BL6298106211,16968.46,successful,2024-08-11,17:59:49
TXN028379048568,BL8213802052,40393.63,failed,2024-09-16,20:18:14
TXN560592005643,BL6312795299,42506.69,failed,2024-02-24,23:07:22
TXN314025278759,BL8280557047,843.44,pending,2025-04-23,04:36:33
TXN884335828351,BL2922588828,17397.11,successful,2025-07-25,01:28:12
TXN098535177024,BL4156591626,38233.18,successful,2025-04-28,00:31:54
TXN790253363678,BL2717827183,30439.16,successful,2025-12-06,00:59:36
TXN884000365450,BL5373403939,44862.51,successful,2025-03-17,12:30:40
TXN999088502151,BL0918839233,3964.77,successful,2025-07-11,04:31:02
TXN846813734649,BL5305037054,31133.63,successful,2025-03-19,00:23:39
TXN151237777935,BL9196101345,32887.26,successful,2024-02-04,15:36:10
TXN009255547850,BL7689148450,23669.23,pending,2025-08-15,08:07:03
TXN342728992966,BL3191811712,30316.73,successful,2025-01-27,17:52:40
TXN469189934571,BL7599927316,44881.57,successful,2025-11-06,07:53:25
TXN829979612870,BL3998505107,45136.81,successful,2025-01-12,23:32:56
TXN126987201347,BL8446928482,33636.87,failed,2024-07-23,07:43:58
TXN949738680601,BL2528343539,18872.83,successful,2025-06-18,08:05:17
TXN662359888646,BL1728332351,29932.32,successful,2024-11-20,19:03:29
TXN383451269636,BL3356812109,1094.0,successful,2025-01-12,02:28:36
TXN348880577075,BL4066855937,45956.83,successful,2024-04-06,00:52:17
TXN163350222642,BL4364492230,4743.81,successful,2025-04-01,20:46:01
TXN316052950485,BL8067010035,41998.54,successful,2025-03-13,09:56:21
TXN577940105118,BL9417484322,5771.86,failed,2025-07-04,14:15:49
TXN267524997815,BL2160654219,41487.46,failed,2024-08-13,09:39:44
TXN490710406506,BL6641850716,44178.82,successful,2024-11-19,08:27:09
TXN288536425601,BL6526144154,36559.84,failed,2024-01-11,23:23:36
TXN156358697692,BL7941965856,233.27,successful,2024-07-23,05:30:47
TXN811838054635,BL8311791308,5953.1,successful,2024-06-17,02:48:05
TXN430346725993,BL9572132857,9032.38,successful,2024-04-03,09:26:08
TXN507464176513,BL7785070063,30684.73,successful,2025-04-30,15:53:09
TXN597723072869,BL7187809670,9635.19,successful,2024-03-08,02:56:33
TXN861951594662,BL9218128957,17174.84,successful,2025-05-13,12:30:17
TXN276440929914,BL2176237904,13541.11,successful,2024-11-06,04:06:58
TXN532434293393,BL0193724252,16422.88,successful,2024-09-24,17:53:43
TXN183764811560,BL5354506422,32725.48,successful,2025-06-13,23:44:13
TXN097256844084,BL6222472043,2598.67,successful,2025-06-08,01:40:20
TXN764296288754,BL3322789270,3919.15,successful,2025-02-19,12:50:52
TXN781573634177,BL3236356254,37159.98,successful,2024-04-23,23:37:42
TXN112358273474,BL9459540766,37368.8,successful,2025-12-09,15:22:36
TXN764455453381,BL0526521977,42732.36,successful,2024-02-19,11:52:23
TXN620896532932,BL5627401214,15835.37,successful,2025-02-17,09:41:00
TXN128799532927,BL8679461125,31550.76,successful,2024-06-18,13:30:28
TXN242697951639,BL6064655513,8047.4,failed,2024-02-20,08:11:58
TXN068980427176,BL2842567195,26755.12,successful,2024-02-24,05:57:18
TXN088703964718,BL8249180331,37921.23,successful,2025-01-08,10:54:17
TXN816822851035,BL6722700970,43524.6,successful,2024-08-17,00:57:29
TXN277634998875,BL0086830009,11495.73,successful,2024-06-09,08:07:20
TXN695298507452,BL9690049363,39883.77,successful,2025-05-30,22:24:27
TXN264065018095,BL7193724411,3137.17,successful,2025-12-28,06:31:27
TXN408070444055,BL1908156713,15068.05,successful,2025-03-30,21:49:18
TXN187186407641,BL1832636026,25413.92,failed,2024-11-29,19:13:35
TXN177861996772,BL5339130109,46648.89,successful,2025-06-05,20:53:12
TXN337833570904,BL8216709106,32325.06,successful,2025-10-27,01:25:43
TXN072723373512,BL7473684546,25196.88,successful,2024-12-20,21:02:37
TXN542480978855,BL9744183781,28135.64,successful,2025-05-11,19:32:44
TXN725207077389,BL1822263696,22347.43,successful,2024-09-11,15:25:20
TXN840508024226,BL2867522897,16398.3,successful,2025-08-29,17:00:13
TXN898751131590,BL4232090717,6453.44,successful,2025-05-31,19:59:34
TXN322342923184,BL3670589534,41724.45,successful,2024-02-23,19:13:55
TXN820417519555,BL5628510774,8227.86,failed,2024-12-10,19:52:27
TXN394205459034,BL5621296817,48082.28,successful,2025-01-14,21:38:43
TXN848390634926,BL5025738121,16231.22,failed,2024-10-06,22:12:15
TXN051405272684,BL1082655208,8814.41,successful,2024-07-12,09:39:55
TXN355108091498,BL2507085058,26882.69,successful,2024-11-12,15:13:39
TXN048235960485,BL2253609800,6379.07,successful,2025-04-13,13:47:19
TXN436854265127,BL7088984346,46201.89,successful,2024-01-10,02:20:24
TXN387408727405,BL7178042510,4819.72,successful,2025-11-24,05:54:24
TXN076275071419,BL8801798587,48825.11,successful,2025-12-29,16:15:42
TXN452429846568,BL8004419696,33411.1,successful,2024-03-19,13:13:06
TXN795173694373,BL8772145769,39428.0,successful,2024-03-24,17:29:52
TXN392736671586,BL5081870014,37061.17,successful,2025-09-27,15:29:42
TXN434311013562,BL2643827062,28040.07,failed,2024-07-24,14:00:02
TXN105842753919,BL3254226471,40747.2,successful,2025-04-25,09:08:07
TXN445911535932,BL5618711210,39860.19,failed,2024-01-17,03:15:20
TXN399339189251,BL4597807691,49052.45,successful,2025-09-14,17:14:49
TXN468470392280,BL2281023122,29927.15,successful,2024-05-13,02:02:06
TXN924563589156,BL3331212302,15791.48,failed,2025-08-16,16:48:04
TXN296375069031,BL2670602472,48183.63,successful,2024-07-21,08:10:35
TXN011634687960,BL5211981020,12386.49,successful,2025-02-06,17:20:00
TXN700948675806,BL0768382125,45602.16,successful,2025-09-27,00:54:04
TXN765093595675,BL9961637865,2455.66,successful,2025-09-02,18:48:49
TXN586458560241,BL9892871137,11156.2,successful,2024-05-26,05:01:59
TXN260926902889,BL6395396810,49355.57,successful,2025-07-08,14:34:16
TXN817206071601,BL6610264997,8030.3,successful,2024-11-17,06:48:21
TXN194128178264,BL7104019438,7223.66,failed,2025-10-19,11:03:12
TXN648025519064,BL5311192101,26760.26,successful,2025-05-02,04:06:48
TXN494361527597,BL6314648706,39227.88,successful,2024-11-20,10:58:25
TXN746211638760,BL1881701797,10937.19,successful,2024-12-25,21:57:21
TXN193967867008,BL7029223853,2732.36,failed,2024-07-09,20:09:12
TXN945662821990,BL5948598072,2064.98,successful,2024-11-18,11:37:33
