txnRef,Date,Time,service_type,amount,status
TXN911888696448,2024-04-21,20:16:59,airtime,19297.26,successful
TXN049533921653,2025-12-02,20:03:14,airtime,39272.58,successful
TXN436715802804,2025-10-12,14:15:49,data,23863.97,failed
TXN622825462675,2024-10-01,19:50:07,airtime,33918.14,successful
TXN672720392810,2024-08-02,16:09:54,cable,48973.16,successful
TXN857207409626,2025-02-10,07:39:28,airtime,816.82,failed
TXN068081560238,2025-12-03,16:08:01,airtime,36922.63,successful
TXN316373078324,2025-07-14,07:55:47,cable,24271.95,successful
TXN704784734680,2024-05-05,16:13:42,airtime,44682.38,failed
TXN674655458372,2024-09-17,21:12:44,airtime,18657.93,successful
TXN955628979677,2025-12-21,15:39:32,cable,46122.38,successful
TXN462129075586,2024-04-06,10:49:37,airtime,23854.43,successful
TXN581038112493,2024-04-02,21:12:15,airtime,14563.82,successful
TXN513857634940,2024-08-08,22:18:08,data,12287.02,successful
TXN046248612926,2024-10-20,09:32:36,electricity,48707.95,successful
TXN057387879212,2024-04-03,16:56:45,airtime,13799.91,successful
TXN117092425604,2025-10-02,02:07:55,airtime,43585.03,successful
TXN570747804737,2025-03-17,13:12:20,airtime,37891.98,successful
TXN866968011861,2025-11-05,19:14:46,airtime,1438.08,successful
TXN213229368612,2024-12-14,05:23:28,airtime,35598.12,successful
TXN786276116149,2025-10-09,01:45:15,electricity,15252.23,successful
TXN025974257668,2024-08-24,08:59:52,airtime,39100.0,failed
TXN779103630612,2025-02-23,09:04:33,cable,36869.25,successful
TXN569697415449,2025-08-27,22:20:43,airtime,25707.96,failed
TXN476754448376,2025-11-30,06:34:20,airtime,20540.45,successful
TXN493105309521,2024-09-05,21:16:26,airtime,38438.4,successful
TXN592350069055,2024-07-02,16:30:55,airtime,5165.32,successful
TXN687982588969,2024-02-24,07:41:21,airtime,35416.93,successful
TXN000380194360,2025-04-30,17:20:55,data,33910.47,failed
TXN648764446166,2024-08-17,01:39:08,airtime,1396.01,successful
TXN019713359206,2025-09-12,14:52:00,cable,9536.2,failed
TXN433674249502,2025-01-30,11:24:21,airtime,10229.72,successful
TXN235115480150,2024-09-13,12:18:59,electricity,34482.33,pending
TXN310271644067,2024-12-24,18:30:57,airtime,21942.41,successful
TXN886783300779,2024-06-16,21:38:15,airtime,18794.77,successful
TXN697208666624,2025-01-14,12:34:35,airtime,34085.22,successful
TXN779815782276,2025-01-23,20:44:00,airtime,420.37,successful
TXN308346460499,2025-09-23,04:19:10,electricity,49344.89,successful
TXN669647325903,2025-06-01,05:53:20,data,45517.34,failed
TXN794222135195,2025-07-17,03:30:15,data,6458.13,successful
TXN984461687539,2024-12-23,18:15:36,airtime,6260.85,successful
TXN229081789279,2025-07-02,18:31:55,electricity,38824.33,failed
TXN891034433072,2025-07-18,23:38:09,cable,46160.88,successful
TXN378093654482,2025-03-01,15:38:55,data,40237.49,successful
TXN964024696367,2025-05-19,22:42:20,electricity,32960.09,successful
TXN631046505527,2025-11-02,18:49:48,data,39737.75,successful
TXN105113707972,2025-11-16,02:03:58,airtime,30474.28,successful
TXN752498838943,2024-05-22,05:19:09,data,4598.02,pending
TXN250166098814,2024-10-07,16:42:23,data,5022.01,successful
TXN113600299157,2024-05-20,03:01:33,cable,40418.84,successful
TXN876020160991,2024-10-20,12:06:13,airtime,36832.96,successful
TXN196987009163,2025-04-30,06:20:26,airtime,19590.92,successful
TXN147131734496,2025-09-02,03:38:27,data,31866.55,successful
TXN861106802505,2024-11-10,15:36:47,airtime,37850.42,successful
TXN970471815358,2024-09-01,06:11:29,airtime,14576.96,successful
TXN115084891389,2024-07-17,20:40:37,electricity,18746.79,successful
TXN866672808213,2025-01-27,23:27:10,airtime,3741.64,successful
TXN459125970879,2024-06-14,03:48:42,airtime,10749.7,successful
TXN090078573154,2025-12-07,07:17:10,cable,27831.41,successful
TXN536010552869,2025-04-16,16:48:45,airtime,17677.44,successful
TXN220586720900,2024-09-07,00:51:59,electricity,10885.16,successful
TXN255873415923,2024-05-25,23:02:16,data,48755.73,successful
TXN904155020674,2024-12-17,13:50:23,airtime,14770.89,successful
TXN286412672019,2024-11-10,05:32:03,airtime,31143.71,successful
TXN148817241329,2025-12-15,17:40:02,cable,23111.6,successful
TXN861679862018,2025-03-12,13:21:43,airtime,26039.15,successful
TXN121350664931,2024-12-26,08:54:41,data,44132.97,successful
TXN072646327971,2025-03-29,23:44:43,airtime,44049.7,failed
TXN020743601141,2024-10-25,07:50:07,data,31906.05,failed
TXN253908303423,2024-01-17,12:52:19,electricity,33030.29,successful
TXN799738272076,2025-05-27,22:47:42,airtime,43300.54,successful
TXN728161601068,2024-02-19,17:51:45,airtime,29036.55,successful
TXN822273471278,2024-12-08,13:09:53,airtime,18157.87,successful
TXN451481141477,2024-09-22,07:21:41,data,23546.03,successful
TXN379098742833,2025-10-17,14:31:20,airtime,8363.07,successful
TXN602284536484,2025-10-14,12:59:31,cable,13108.9,successful
TXN797565311582,2025-09-15,06:03:47,data,40084.14,successful
TXN790091341327,2024-09-14,11:38:52,cable,12440.71,successful
TXN952043351293,2025-03-11,17:44:01,electricity,11682.57,successful
TXN331354067753,2024-02-15,18:35:35,data,32635.23,successful
TXN383062162144,2024-10-20,01:33:40,airtime,34785.48,successful
TXN711321812624,2024-04-13,02:21:29,data,28976.94,successful
TXN724016115335,2025-03-04,10:46:49,electricity,1789.1,successful
TXN043619341084,2025-05-03,22:12:45,data,28840.66,failed
TXN441026505406,2024-03-17,08:52:36,airtime,8406.3,successful
TXN557122332916,2024-09-13,19:58:23,airtime,23816.71,successful
TXN536561710854,2025-05-16,04:53:13,airtime,9021.88,successful
TXN836811233746,2025-06-06,17:11:13,data,46384.82,successful
TXN436727014340,2024-05-23,00:37:27,cable,26467.03,successful
TXN405774567597,2025-02-01,21:15:02,cable,26634.95,successful
TXN264178425079,2024-02-01,19:46:01,cable,43267.74,successful
TXN182379822844,2025-01-29,03:37:47,data,29594.04,successful
TXN095891612389,2024-01-04,14:53:19,airtime,30025.94,successful
TXN811800599832,2025-11-23,09:35:28,airtime,17517.8,successful
TXN621726434434,2025-06-29,10:04:14,airtime,19501.55,successful
TXN126845862872,2024-10-15,18:33:23,data,34545.03,successful
TXN112358712650,2024-05-11,23:27:12,airtime,32478.25,successful
TXN647663949153,2025-12-28,22:52:56,cable,7305.93,successful
TXN830814752483,2024-05-15,10:10:51,airtime,47099.87,pending
TXN490251967658,2024-05-01,17:27:43,airtime,7619.09,failed
TXN128395847215,2024-08-31,08:13:31,cable,45050.77,successful
TXN759345404633,2025-01-02,05:52:44,cable,4342.02,successful
TXN887439754299,2025-06-25,06:20:22,airtime,4331.29,successful
TXN705936602847,2024-03-03,02:24:28,data,24074.4,successful
TXN553113692528,2025-12-01,11:31:08,airtime,24480.54,successful
TXN221853760746,2024-06-24,04:00:02,data,34886.52,successful
TXN263321206654,2025-01-31,19:29:28,airtime,9323.12,successful
TXN407832988297,2025-07-30,05:01:31,electricity,34123.25,successful
TXN905857777203,2024-07-01,09:20:13,cable,41053.64,successful
TXN536453971686,2024-10-16,22:12:43,airtime,20450.51,successful
TXN334781058655,2024-03-08,03:27:53,electricity,41617.45,failed
TXN383958234716,2025-06-15,06:53:11,data,22737.34,successful
TXN605661425402,2024-12-06,06:43:41,airtime,47438.24,successful
TXN362561678616,2024-09-27,16:45:41,airtime,35659.79,successful
TXN178627816424,2024-06-07,19:29:45,airtime,13609.95,successful
TXN629890199495,2025-02-21,10:01:29,airtime,13926.87,successful
TXN495431138082,2024-06-03,17:10:30,airtime,27469.69,successful
TXN255510302716,2024-07-20,20:07:39,cable,27685.92,successful
TXN221126703047,2025-10-10,00:06:25,cable,33908.52,successful
TXN925883656856,2025-04-24,01:57:22,cable,40328.83,failed
TXN140912849548,2024-12-04,08:36:53,cable,14394.73,successful
TXN330070540986,2024-05-08,01:51:22,airtime,49592.68,successful
TXN608668352748,2024-03-15,15:48:54,airtime,11832.74,successful
TXN470081917233,2024-08-28,06:15:33,electricity,12038.78,successful
TXN491826997476,2024-05-07,12:31:24,cable,35597.12,successful
TXN485236755896,2024-10-16,17:40:11,data,30650.0,successful
TXN893716043240,2024-06-14,18:20:14,electricity,46560.99,successful
TXN492109355098,2024-05-11,06:48:50,data,42666.21,successful
TXN433801506337,2024-06-25,02:57:03,electricity,471.15,successful
TXN412034232900,2025-03-15,00:23:15,electricity,28301.43,successful
TXN721128255699,2025-06-15,14:52:49,airtime,44958.86,successful
TXN566320871784,2025-04-25,20:23:23,airtime,5294.24,successful
TXN876437859590,2024-05-25,05:05:59,airtime,11370.73,successful
TXN334545880189,2025-12-14,03:11:45,electricity,1566.97,successful
TXN590307294975,2025-10-27,20:48:26,airtime,4889.67,successful
TXN028054124658,2024-07-23,21:16:22,airtime,6911.11,successful
TXN517766753725,2025-07-09,02:05:37,cable,30272.54,pending
TXN517565152785,2025-07-20,19:40:43,airtime,39635.7,successful
TXN047397526632,2024-12-21,02:29:09,airtime,47508.26,pending
TXN160553692580,2024-11-11,12:41:41,data,41547.65,successful
TXN036284530987,2025-05-13,17:06:55,cable,38172.02,successful
TXN881160172561,2024-03-02,11:28:55,airtime,24837.83,successful
TXN206220983135,2024-09-24,22:37:06,airtime,48656.62,successful
TXN914084958807,2025-02-27,00:03:17,data,18868.23,successful
TXN650036597060,2024-08-19,13:40:57,airtime,46190.1,successful
TXN826743878253,2025-01-31,06:58:37,data,30757.69,pending
TXN078544253574,2025-05-01,22:29:27,airtime,35337.72,successful
TXN573514140617,2024-12-18,07:13:08,airtime,36442.34,failed
TXN553277351630,2025-06-16,20:14:27,data,41908.94,successful
TXN117613190601,2024-11-14,13:02:03,electricity,17212.65,successful
TXN167054356488,2025-02-15,00:10:08,data,38854.77,failed
TXN994079149604,2025-02-04,07:31:52,airtime,25827.01,successful
TXN804085526080,2025-04-22,20:20:11,data,27376.25,failed
TXN689726322604,2024-12-23,11:29:20,data,15688.44,successful
TXN565829364933,2025-05-01,16:29:29,cable,44636.91,failed
TXN332780183787,2025-03-19,16:07:55,cable,42728.98,successful
TXN463130002909,2024-12-17,00:31:17,data,42604.16,failed
TXN095159445105,2024-07-14,02:43:56,data,44135.68,pending
TXN581300782329,2025-07-09,06:04:07,airtime,29522.67,successful
TXN775134936007,2025-09-02,15:15:10,data,49729.8,successful
TXN450774521556,2025-12-12,17:13:08,data,8049.35,successful
TXN942184115377,2025-11-28,20:48:53,cable,352.34,successful
TXN479751488097,2024-08-04,17:28:27,airtime,3629.09,successful
TXN399929530897,2024-05-17,09:13:18,airtime,19734.33,failed
TXN315821453538,2025-07-30,05:32:15,data,42087.59,successful
TXN124063411181,2025-06-15,22:40:32,electricity,14846.33,successful
TXN130522288208,2024-08-06,19:53:49,electricity,42432.14,pending
TXN323483955902,2025-12-01,04:57:04,data,14089.82,failed
TXN392849728660,2024-08-06,03:27:02,cable,24911.28,successful
TXN101087439549,2025-07-17,04:29:53,airtime,24048.9,successful
TXN320863957278,2025-11-10,08:49:36,data,13861.82,successful
TXN072008817283,2025-10-20,20:39:05,airtime,19734.77,successful
TXN792847196632,2024-02-15,10:19:43,cable,5382.96,successful
TXN722579464701,2025-03-30,07:56:52,data,6586.54,successful
TXN510811166283,2024-10-28,05:18:57,cable,47909.89,successful
TXN353681646936,2024-01-09,00:27:48,data,10539.23,successful
TXN244319500351,2025-04-09,06:32:44,cable,30268.87,successful
TXN698133933185,2024-09-28,19:25:12,airtime,4800.62,failed
TXN025896824079,2024-01-14,10:15:47,airtime,45622.08,successful
TXN880623602292,2025-02-16,07:11:35,airtime,30112.5,failed
TXN349491937133,2024-11-01,13:24:35,cable,29908.09,successful
TXN718102962723,2024-04-16,08:30:28,cable,45048.25,failed
TXN546409563524,2024-03-19,18:17:38,cable,13535.33,successful
TXN558853151251,2024-05-21,12:49:39,airtime,34245.13,failed
TXN754591229727,2025-07-04,14:18:05,cable,45057.11,successful
TXN458883735978,2025-07-16,12:01:04,airtime,2661.97,successful
TXN230294719911,2025-08-06,00:26:13,cable,10960.13,failed
TXN083137157028,2025-08-09,01:43:41,data,6369.95,failed
TXN832456351512,2025-01-03,09:47:41,airtime,3143.73,successful
TXN676599843942,2024-06-11,07:46:51,airtime,32568.01,successful
TXN413812360152,2025-09-29,05:34:47,cable,24359.34,successful
TXN383862803115,2025-04-29,05:59:24,cable,161.0,failed
TXN042798660157,2025-03-22,21:11:58,cable,13983.16,successful
TXN738283748121,2024-12-18,21:36:01,airtime,32125.99,failed
TXN104212286241,2025-03-22,02:24:27,cable,41439.02,successful
TXN034503430419,2024-10-30,15:20:57,data,28197.98,successful
TXN210890083653,2025-04-02,20:49:46,data,13030.98,successful
TXN743977923086,2025-02-17,11:45:21,cable,44702.3,successful
TXN088911836281,2024-11-10,16:34:27,electricity,43173.17,failed
TXN507878193799,2025-04-03,00:41:46,data,36115.75,successful
TXN014774910616,2025-03-09,11:57:38,cable,48799.8,successful
TXN990014210401,2024-07-10,00:03:27,airtime,2416.39,failed
TXN187668528520,2025-09-23,18:19:14,cable,45652.45,failed
TXN503882429485,2025-12-27,19:03:10,airtime,21281.87,successful
TXN379150448157,2024-09-05,14:18:12,electricity,24937.75,successful
TXN000719851797,2025-08-08,06:57:18,electricity,47230.37,successful
TXN067927608588,2024-09-14,09:27:52,airtime,14313.37,failed
TXN511137537947,2025-07-26,12:47:54,cable,49443.97,successful
TXN913235075252,2025-05-01,02:09:27,cable,21424.32,successful
TXN201867454593,2025-02-02,04:06:41,airtime,18907.57,successful
TXN166040967831,2025-05-27,11:01:43,airtime,40010.47,failed
TXN419432509888,2025-03-07,20:10:53,electricity,4872.72,successful
TXN688752128416,2024-02-22,07:17:10,data,27223.85,successful
TXN041149047710,2024-09-02,05:59:02,airtime,34780.99,successful
TXN691532390853,2025-06-18,10:23:29,electricity,172.64,successful
TXN099784595901,2024-12-29,20:02:00,airtime,48954.49,successful
TXN503890950902,2024-04-17,02:02:40,electricity,19871.71,successful
TXN485614434094,2024-08-07,19:19:14,data,40561.92,successful
TXN046794139330,2024-08-28,11:18:37,data,47749.15,successful
TXN794830553132,2024-02-22,16:50:55,airtime,29577.46,successful
TXN503061536086,2024-01-22,23:07:31,data,39575.16,successful
TXN551925543580,2025-08-02,20:12:25,data,26155.61,successful
TXN716206913180,2025-04-29,07:29:00,airtime,44014.84,successful
TXN988129513652,2025-04-08,05:16:00,airtime,45727.21,failed
TXN048299008970,2024-03-17,15:06:16,airtime,27090.03,successful
TXN957074325985,2024-02-13,04:59:47,airtime,31253.33,successful
TXN589631561976,2025-03-03,13:57:17,airtime,31638.54,successful
TXN640704468789,2025-05-29,18:37:25,data,9631.35,successful
TXN964439806456,2025-01-13,07:23:19,cable,47145.32,successful
TXN622984839075,2024-04-07,09:09:43,data,35383.3,successful
TXN134125739363,2024-04-18,19:53:16,cable,29174.13,successful
TXN645417845814,2025-03-02,06:14:14,airtime,28951.48,successful
TXN120214410351,2024-01-15,15:42:34,cable,4862.88,failed
TXN322569167532,2025-12-18,12:57:23,cable,14552.84,successful
TXN523068641693,2025-07-03,04:49:16,cable,10703.87,successful
TXN460735246677,2024-11-15,02:19:21,airtime,39387.66,successful
TXN490652211317,2025-03-16,12:34:27,data,28603.84,successful
TXN893481956218,2025-03-28,19:17:26,data,23022.89,failed
TXN075565933259,2024-08-07,19:25:23,airtime,11123.2,successful
TXN275710994502,2024-10-20,15:47:40,electricity,48602.6,failed
TXN034273803402,2024-01-12,11:23:13,airtime,33227.72,successful
TXN856212257241,2024-05-20,01:58:08,cable,5619.49,successful
TXN407010145906,2024-09-06,10:42:52,data,23943.39,successful
TXN551282313639,2024-11-15,00:36:56,airtime,28971.86,successful
TXN981687787197,2024-11-21,07:07:33,electricity,35137.45,successful
TXN232952744507,2024-02-08,01:37:14,cable,8402.64,successful
TXN702036624915,2025-02-23,15:07:39,electricity,18586.54,successful
TXN233502356264,2024-02-17,13:48:32,airtime,22958.27,successful
TXN572144030953,2025-10-04,00:58:25,airtime,12853.61,failed
TXN413322675236,2024-02-22,00:29:00,airtime,4803.79,successful
TXN065245628707,2025-06-28,00:23:16,cable,17114.52,successful
TXN918572600642,2024-06-01,10:51:47,data,2598.44,successful
TXN958923573861,2024-06-11,06:50:03,airtime,28565.71,successful
TXN153528994108,2025-09-26,19:19:53,airtime,34491.38,successful
TXN976070224424,2024-02-20,01:47:23,electricity,8602.64,successful
TXN429730744485,2025-08-03,05:01:05,electricity,23987.94,successful
TXN585136413642,2024-01-01,12:35:57,electricity,27497.33,successful
TXN882985206434,2025-05-23,16:29:12,cable,46223.15,successful
TXN668768307912,2025-04-08,09:54:08,cable,17694.38,successful
TXN306406902049,2025-06-09,18:16:49,airtime,15291.38,successful
TXN777217021963,2024-10-17,22:09:07,data,804.37,successful
TXN082726307930,2024-02-15,23:46:16,airtime,16563.51,successful
TXN071231310553,2024-04-12,15:41:17,airtime,11878.69,successful
TXN457641030600,2024-07-09,17:04:06,data,23747.07,successful
TXN323613386442,2025-04-28,06:56:49,data,22362.75,successful
TXN823177375934,2024-03-31,08:32:06,airtime,22992.44,successful
TXN349869581892,2024-10-15,14:35:56,data,31642.67,failed
TXN320288557766,2024-07-14,11:49:45,data,21489.59,failed
TXN275761147167,2024-10-08,10:55:50,airtime,4738.09,successful
TXN791740390823,2024-08-26,23:01:17,airtime,17642.5,successful
TXN502865760627,2025-03-18,14:43:41,data,6428.15,successful
TXN675732271995,2025-02-13,04:27:17,electricity,17241.92,successful
TXN692268432152,2024-07-12,04:49:42,cable,1978.02,successful
TXN592227665445,2025-04-02,06:13:08,airtime,29011.6,successful
TXN384703559636,2025-09-10,08:42:51,airtime,13111.9,successful
TXN265745033308,2024-02-25,09:57:54,electricity,1184.61,successful
TXN901857494074,2025-07-25,08:33:03,airtime,21310.01,successful
TXN635621227514,2024-10-13,12:03:06,data,14360.05,successful
TXN603329438399,2025-12-14,13:18:52,electricity,38813.43,successful
TXN373484739377,2024-11-12,08:00:45,cable,9269.73,successful
TXN853030671416,2024-04-19,19:07:45,airtime,19184.02,failed
TXN617853156477,2025-05-06,12:36:56,airtime,37313.19,successful
TXN050521729593,2025-05-31,20:07:39,airtime,12370.0,failed
TXN790672569147,2025-04-28,15:05:08,airtime,41967.62,successful
TXN324703631454,2025-09-05,12:58:31,airtime,46774.73,successful
TXN835808427961,2024-09-10,10:36:02,cable,6888.05,successful
TXN756188110578,2025-05-11,01:14:54,data,2783.03,successful
TXN287750015279,2025-09-06,01:36:27,electricity,11601.15,successful
TXN806507880047,2025-07-18,19:37:02,data,40249.18,successful
TXN185939627897,2024-12-05,09:23:40,data,40015.97,successful
TXN286154943072,2024-01-15,04:57:24,airtime,24883.09,successful
TXN270574023619,2024-01-16,20:54:17,airtime,22586.37,successful
TXN028844486135,2025-05-08,01:16:14,airtime,45386.98,successful
TXN840323989746,2024-12-18,06:42:18,data,42117.55,successful
TXN022777499828,2025-05-11,08:48:41,data,5903.89,successful
TXN348355997421,2024-07-19,06:08:08,airtime,20547.38,successful
TXN843065843458,2024-01-27,05:31:14,airtime,40414.06,failed
TXN835731967501,2024-07-24,18:07:10,cable,17568.15,successful
TXN101150037143,2025-01-03,01:56:30,data,4056.47,successful
TXN982539125370,2024-09-22,08:53:58,cable,2543.82,successful
TXN699484617315,2025-09-14,23:42:58,data,23440.43,successful
TXN275829236821,2024-06-21,18:26:15,airtime,11577.14,successful
TXN305188128045,2025-06-17,16:02:38,airtime,29360.49,failed
TXN377399968168,2025-09-30,16:42:08,data,15771.54,failed
TXN012909070097,2024-11-22,05:52:21,airtime,20938.13,successful
TXN041487916846,2024-10-22,07:19:21,data,22959.26,successful
TXN240320457405,2024-09-26,06:34:25,airtime,38166.79,successful
TXN436349275962,2024-03-06,05:53:53,cable,46606.68,successful
TXN172525372443,2024-08-23,03:36:07,cable,2173.46,successful
TXN422892659509,2025-04-10,18:10:11,electricity,12421.92,successful
TXN542263547392,2025-09-21,06:21:45,cable,49283.36,successful
TXN414987615719,2025-07-28,12:59:41,data,39659.71,successful
TXN336814856209,2025-09-30,23:55:42,data,12147.16,successful
TXN085264805395,2025-05-16,16:13:54,electricity,7630.68,successful
TXN350699884190,2024-05-30,01:50:06,airtime,13258.43,successful
TXN144613017232,2025-08-21,19:03:24,airtime,8498.11,successful
TXN328222934240,2025-10-11,10:56:16,airtime,27375.12,successful
TXN947718736617,2025-05-23,03:07:03,data,27678.46,successful
TXN113135414554,2025-04-07,18:47:07,airtime,11130.35,successful
TXN583549713911,2024-03-09,04:01:26,airtime,10334.79,successful
TXN777574881193,2024-08-06,01:48:42,cable,19757.97,failed
TXN946095644256,2025-02-28,04:00:49,airtime,39169.5,successful
TXN366272804914,2025-10-01,21:54:48,data,19341.51,successful
TXN243560823659,2024-09-23,16:41:39,data,25834.66,successful
TXN044111066785,2024-06-11,04:02:26,airtime,31796.14,successful
TXN588689462833,2025-01-16,10:12:18,cable,10954.19,successful
TXN550066444890,2025-06-23,17:26:40,airtime,45253.61,successful
TXN133055986063,2025-04-16,05:02:00,airtime,6064.37,failed
TXN467080245343,2024-03-20,19:48:21,cable,34999.46,successful
TXN090950601537,2024-08-16,02:25:33,airtime,689.85,successful
TXN683253897273,2024-07-27,23:05:27,airtime,19240.53,successful
TXN124172297808,2025-04-23,02:18:57,airtime,9463.94,successful
TXN073675635250,2024-09-05,17:31:57,data,3009.77,successful
TXN477289804658,2024-10-06,17:31:28,cable,48393.24,successful
TXN848716264854,2024-08-08,19:09:30,airtime,37938.98,successful
TXN702257401476,2024-04-10,05:57:23,electricity,6415.53,successful
TXN077071324676,2025-09-25,15:53:26,airtime,49057.09,failed
